chr pos between within.both pubescens formosa
Chr_01 5200000 0.09540546 0.0869108715 0.080780541 0.093041202
Chr_01 5250000 0.1102910048 0.0905763385 0.082670496 0.098482181
Chr_01 5300000 0.143843146 0.104669452 0.089299221 0.120039683
Chr_01 5350000 0.1560466896 0.117456299 0.099585454 0.135327144
Chr_01 5400000 0.1595777368 0.114818556 0.095863582 0.13377353
Chr_01 5450000 0.1642594748 0.1078654425 0.090770685 0.1249602
Chr_01 5500000 0.1431281812 0.101433357 0.088896146 0.113970568
Chr_01 5550000 0.1288159308 0.0947921805 0.084679684 0.104904677
Chr_01 5600000 0.1262534756 0.096448605 0.084101413 0.108795797
Chr_01 5650000 0.1266354068 0.094885551 0.082916515 0.106854587
Chr_01 5700000 0.1270658024 0.0948533505 0.084493022 0.105213679
Chr_01 5750000 0.1385594844 0.104508427 0.093414361 0.115602493
Chr_01 5800000 0.15331633 0.106477986 0.092016141 0.120939831
Chr_01 5850000 0.1471383208 0.10202938 0.087467001 0.116591759
Chr_01 5900000 0.1679873336 0.1016687875 0.08655368 0.116783895
Chr_01 5950000 0.1872453772 0.1065151685 0.08852075 0.124509587
Chr_01 6000000 0.1578572312 0.1081279415 0.091455656 0.124800227
Chr_01 6050000 0.1491121448 0.108725352 0.091138225 0.126312479
Chr_01 6100000 0.1401684584 0.1123247415 0.094806292 0.129843191
Chr_01 6150000 0.1302440788 0.1096652125 0.091708129 0.127622296
Chr_01 6200000 0.1193450536 0.103367831 0.086184562 0.1205511
Chr_01 6250000 0.145045122 0.1070398025 0.092784449 0.121295156
Chr_01 6300000 0.1424301344 0.111018848 0.086575808 0.135461888
Chr_01 6350000 0.1365419624 0.1160501105 0.091490563 0.140609658
Chr_01 6400000 0.1433235176 0.1180321095 0.099888467 0.136175752
Chr_01 6450000 0.137952446 0.110482812 0.09008899 0.130876634
Chr_01 6500000 0.14429361 0.1113261155 0.086501052 0.136151179
Chr_01 6550000 0.149210432 0.1159396135 0.091002802 0.140876425
Chr_01 6600000 0.1400042492 0.112714213 0.100984175 0.124444251
Chr_01 6650000 0.1464397884 0.111085968 0.098282634 0.123889302
Chr_01 6700000 0.163138006 0.1103493165 0.088264017 0.132434616
Chr_01 6750000 0.1634264024 0.105043578 0.083102016 0.12698514
Chr_01 6800000 0.1353874556 0.1064810175 0.084715225 0.12824681
Chr_01 6850000 0.140701782 0.1083688765 0.088999772 0.127737981
Chr_01 6900000 0.1686175388 0.1060152405 0.08659504 0.125435441
Chr_01 6950000 0.2135458836 0.1084374845 0.092437842 0.124437127
Chr_01 7000000 0.2036126308 0.112479354 0.096033505 0.128925203
Chr_01 7050000 0.1488487688 0.1118659515 0.090491707 0.133240196
Chr_01 7100000 0.1363119568 0.109613201 0.09486794 0.124358462
Chr_01 7150000 0.1337009012 0.1057167175 0.091439541 0.119993894
Chr_01 7200000 0.132880008 0.101087178 0.08356487 0.118609486
Chr_01 7250000 0.1337735644 0.0980512815 0.08067918 0.115423383
Chr_01 7300000 0.1471654204 0.102220167 0.084781063 0.119659271
Chr_01 7350000 0.1757875444 0.1113373595 0.092568398 0.130106321
Chr_01 7400000 0.1871967636 0.114772534 0.097376995 0.132168073
Chr_01 7450000 0.1792724708 0.110496575 0.096038569 0.124954581
Chr_01 7500000 0.149842446 0.1063800315 0.086141204 0.126618859
Chr_01 7550000 0.145578234 0.103759241 0.081887197 0.125631285
Chr_01 7600000 0.1525628108 0.099919097 0.084509691 0.115328503
Chr_01 7650000 0.1567792712 0.104975401 0.086717169 0.123233633
Chr_01 7700000 0.1625630848 0.1085939015 0.091560594 0.125627209
Chr_01 7750000 0.1451065284 0.105801008 0.092044388 0.119557628
Chr_01 7800000 0.1415552944 0.102904615 0.087098081 0.118711149
Chr_01 7850000 0.1357233912 0.111351269 0.09083133 0.131871208
Chr_01 7900000 0.1239711932 0.106556428 0.087203279 0.125909577
Chr_01 7950000 0.1314735708 0.1070211525 0.085809 0.128233305
Chr_01 8000000 0.141502184 0.110537938 0.086773914 0.134301962
Chr_01 8050000 0.1282617508 0.105316341 0.082914717 0.127717965
Chr_01 8100000 0.1239218904 0.106238717 0.085829951 0.126647483
Chr_01 8150000 0.1423042784 0.1099655825 0.087741976 0.132189189
Chr_01 8200000 0.1514414092 0.111577521 0.08598858 0.137166462
Chr_01 8250000 0.149172786 0.110990396 0.089683521 0.132297271
Chr_01 8300000 0.1365169448 0.1042186295 0.089661491 0.118775768
Chr_01 8350000 0.1226520372 0.100889647 0.087924985 0.113854309
Chr_01 8400000 0.1298241332 0.1118696025 0.094463552 0.129275653
Chr_01 8450000 0.1196955032 0.1036335585 0.091422426 0.115844691
Chr_01 8500000 0.1173783112 0.101637346 0.087769857 0.115504835
Chr_01 8550000 0.1285960536 0.1110581785 0.091732632 0.130383725
Chr_01 8600000 0.1370686184 0.11067084 0.091189566 0.130152114
Chr_01 8650000 0.1319133428 0.094042939 0.0827085 0.105377378
Chr_01 8700000 0.1329255392 0.098812415 0.086033353 0.111591477
Chr_01 8750000 0.1229023464 0.103224193 0.086890174 0.119558212
Chr_01 8800000 0.1205212356 0.1005741175 0.089757588 0.111390647
Chr_01 8850000 0.1223516632 0.1018119755 0.092078183 0.111545768
Chr_01 8900000 0.1238837904 0.104559877 0.093945127 0.115174627
Chr_01 8950000 0.124981932 0.1081157605 0.092217164 0.124014357
Chr_01 9000000 0.1058747352 0.093281463 0.080009351 0.106553575
Chr_01 9050000 0.1214438188 0.086937127 0.07655984 0.097314414
Chr_01 9100000 0.140534412 0.098311251 0.086224285 0.110398217
Chr_01 9150000 0.1226346404 0.099977366 0.088060792 0.11189394
Chr_01 9200000 0.1169968572 0.0962218 0.083855661 0.108587939
Chr_01 9250000 0.1212878452 0.1012788265 0.089186722 0.113370931
Chr_01 9300000 0.149142276 0.1047067645 0.094306154 0.115107375
Chr_01 9350000 0.1692501036 0.106512921 0.093865773 0.119160069
Chr_01 9400000 0.1536126212 0.107470645 0.091957749 0.122983541
Chr_01 9450000 0.1340656352 0.1084348845 0.092898238 0.123971531
Chr_01 9500000 0.1229012596 0.1025970575 0.092969862 0.112224253
Chr_01 9550000 0.128879764 0.1059964835 0.094114549 0.117878418
Chr_01 9600000 0.1405440572 0.1116463275 0.094511017 0.128781638
Chr_01 9650000 0.1358758152 0.1111470845 0.09974437 0.122549799
Chr_01 9700000 0.1383688432 0.1136980205 0.10116241 0.126233631
Chr_01 9750000 0.1423246976 0.1104820355 0.094332074 0.126631997
Chr_01 9800000 0.1457167472 0.100014876 0.085182575 0.114847177
Chr_01 9850000 0.1464992356 0.095688427 0.081697447 0.109679407
Chr_01 9900000 0.1258674852 0.08468536 0.075920918 0.093449802
Chr_01 9950000 0.1206382772 0.0835178935 0.074635355 0.092400432
Chr_01 10000000 0.1435122064 0.1065104185 0.094452793 0.118568044
Chr_01 10050000 0.13229508 0.108679621 0.095552987 0.121806255
Chr_01 10100000 0.1275829904 0.1114895845 0.095014052 0.127965117
Chr_01 10150000 0.1152606764 0.0995067745 0.086647529 0.11236602
Chr_01 10200000 0.1193219104 0.099943344 0.080170872 0.119715816
Chr_01 10250000 0.1369928384 0.1090556485 0.086730493 0.131380804
Chr_01 10300000 0.140082988 0.1006741425 0.084387293 0.116960992
Chr_01 10350000 0.1449152948 0.100897378 0.085270908 0.116523848
Chr_01 10400000 0.1487118292 0.1023278265 0.087694795 0.116960858
Chr_01 10450000 0.1419248704 0.103408712 0.089204725 0.117612699
Chr_01 10500000 0.1310539696 0.0980678845 0.086979139 0.10915663
Chr_01 10550000 0.1357476436 0.0981673565 0.085075443 0.11125927
Chr_01 10600000 0.1761737548 0.106429441 0.092780939 0.120077943
Chr_01 10650000 0.2215825144 0.108506385 0.096910652 0.120102118
Chr_01 10700000 0.191314736 0.1090907675 0.095297636 0.122883899
Chr_01 10750000 0.1531045228 0.1073691785 0.093044133 0.121694224
Chr_01 10800000 0.1469898952 0.1016022555 0.086772468 0.116432043
Chr_01 10850000 0.1480273792 0.098490727 0.08644677 0.110534684
Chr_01 10900000 0.1549119708 0.100448302 0.090202676 0.110693928
Chr_01 10950000 0.1512673408 0.1023507815 0.088053045 0.116648518
Chr_01 11000000 0.15462377 0.1059990625 0.086709998 0.125288127
Chr_01 11050000 0.1479686664 0.104566537 0.089711304 0.11942177
Chr_01 11100000 0.1999195444 0.1048956035 0.089005426 0.120785781
Chr_01 11150000 0.2615809732 0.103551111 0.082745283 0.124356939
Chr_01 11200000 0.1959061404 0.099522059 0.08282392 0.116220198
Chr_01 11250000 0.154570698 0.101433699 0.084068339 0.118799059
Chr_01 11300000 0.1216233528 0.0947 0.08268853 0.10671147
Chr_01 11350000 0.1174710728 0.0992837675 0.086375369 0.112192166
Chr_01 11400000 0.1601403296 0.107251046 0.089569508 0.124932584
Chr_01 11450000 0.171386656 0.104112746 0.092454182 0.11577131
Chr_01 11500000 0.1425927524 0.101816487 0.094535815 0.109097159
Chr_01 11550000 0.1392564776 0.101105944 0.091970291 0.110241597
Chr_01 11600000 0.1399320096 0.1004733835 0.089906081 0.111040686
Chr_01 11650000 0.170597438 0.111267459 0.093422784 0.129112134
Chr_01 11700000 0.2194061264 0.106194245 0.088227969 0.124160521
Chr_01 11750000 0.2213598256 0.105261249 0.085610658 0.12491184
Chr_01 11800000 0.183360654 0.112822466 0.095676023 0.129968909
Chr_01 11850000 0.1693779588 0.1123402695 0.098112055 0.126568484
Chr_01 11900000 0.1284950788 0.101769387 0.092309057 0.111229717
Chr_01 11950000 0.1225654604 0.0975132105 0.085939719 0.109086702
Chr_01 12000000 0.1371468472 0.1011838865 0.086279115 0.116088658
Chr_01 12050000 0.1343598328 0.1013162365 0.089685574 0.112946899
Chr_01 12100000 0.1223570464 0.0975501015 0.086176372 0.108923831
Chr_01 12150000 0.1275936092 0.10173764 0.085497901 0.117977379
Chr_01 12200000 0.1535860064 0.106920346 0.090178861 0.123661831
Chr_01 12250000 0.1622447288 0.1060640715 0.090768425 0.121359718
Chr_01 12300000 0.1939392464 0.1132439865 0.096167128 0.130320845
Chr_01 12350000 0.207869238 0.119243078 0.097306933 0.141179223
Chr_01 12400000 0.18153942 0.1103499005 0.094806477 0.125893324
Chr_01 12450000 0.1759130488 0.103721012 0.094991792 0.112450232
Chr_01 12500000 0.1941707252 0.106594367 0.089576377 0.123612357
Chr_01 12550000 0.1851245492 0.110080709 0.097419998 0.12274142
Chr_01 12600000 0.2155530716 0.1114626045 0.10222677 0.120698439
Chr_01 12650000 0.220571158 0.110894743 0.093352257 0.128437229
Chr_01 12700000 0.1705423072 0.108830157 0.091135608 0.126524706
Chr_01 12750000 0.1398961444 0.0908716145 0.085857105 0.095886124
Chr_01 12800000 0.1340177412 0.0877795005 0.083797614 0.091761387
Chr_01 12850000 0.1349089024 0.10518174 0.092185628 0.118177852
Chr_01 12900000 0.1275920548 0.1073924925 0.096837632 0.117947353
Chr_01 12950000 0.1247833768 0.103231023 0.093402003 0.113060043
Chr_01 13000000 0.1219128964 0.093263481 0.081879354 0.104647608
Chr_01 13050000 0.1269722992 0.095053764 0.081915493 0.108192035
Chr_01 13100000 0.1345525576 0.1023750085 0.089504859 0.115245158
Chr_01 13150000 0.1252242524 0.1021958205 0.088356676 0.116034965
Chr_01 13200000 0.1102377576 0.090314636 0.083323467 0.097305805
Chr_01 13250000 0.141419864 0.089905785 0.082740214 0.097071356
Chr_01 13300000 0.1764587852 0.099101783 0.088630686 0.10957288
Chr_01 13350000 0.1302296636 0.091274072 0.083043703 0.099504441
Chr_01 13400000 0.1745640664 0.0955157575 0.089825697 0.101205818
Chr_01 13450000 0.2168312008 0.1100811855 0.09379822 0.126364151
Chr_01 13500000 0.1815631144 0.102479686 0.083138417 0.121820955
Chr_01 13550000 0.193443764 0.101713868 0.08732137 0.116106366
Chr_01 13600000 0.1969522812 0.1087883415 0.093797706 0.123778977
Chr_01 13650000 0.1808696336 0.117975944 0.094430597 0.141521291
Chr_01 13700000 0.2003419984 0.1163697725 0.094568404 0.138171141
Chr_01 13750000 0.2277817372 0.100576804 0.082905257 0.118248351
Chr_01 13800000 0.2177615872 0.101688753 0.087818575 0.115558931
Chr_01 13850000 0.1827318164 0.116439734 0.110156617 0.122722851
Chr_01 13900000 0.1576761404 0.121305603 0.112728372 0.129882834
Chr_01 13950000 0.1742639372 0.1150048625 0.103482698 0.126527027
Chr_01 14000000 0.1666688772 0.10747048 0.09673735 0.11820361
Chr_01 14050000 0.128538684 0.096866375 0.089307636 0.104425114
Chr_01 14100000 0.1163572312 0.0974148285 0.082504532 0.112325125
Chr_01 14150000 0.1377601556 0.0985321335 0.080153714 0.116910553
Chr_01 14200000 0.1503354716 0.1030677755 0.090278203 0.115857348
Chr_01 14250000 0.1473158748 0.1066806055 0.10204462 0.111316591
Chr_01 14300000 0.138601202 0.100831088 0.096676195 0.104985981
Chr_01 14350000 0.1413132252 0.106620754 0.097124532 0.116116976
Chr_01 14400000 0.1585661404 0.116149726 0.102688387 0.129611065
Chr_01 14450000 0.171905326 0.1182964495 0.101600064 0.134992835
Chr_01 14500000 0.1438279148 0.1003653045 0.088902628 0.111827981
Chr_01 14550000 0.1203681248 0.089555533 0.080326859 0.098784207
Chr_01 14600000 0.119722156 0.0894145775 0.080607698 0.098221457
Chr_01 14650000 0.153754186 0.096110425 0.085463758 0.106757092
Chr_01 14700000 0.1728515808 0.1026891245 0.088224278 0.117153971
Chr_01 14750000 0.1858617044 0.0994142895 0.083191659 0.11563692
Chr_01 14800000 0.2141118084 0.1024419215 0.082761542 0.122122301
Chr_01 14850000 0.2371849736 0.1036270985 0.084179099 0.123075098
Chr_01 14900000 0.1974272388 0.1082132755 0.096687366 0.119739185
Chr_01 14950000 0.1565333456 0.1064497235 0.099066847 0.1138326
Chr_01 15000000 0.1392119632 0.09759844 0.089542385 0.105654495
Chr_01 15050000 0.141429054 0.0965477405 0.08472089 0.108374591
Chr_01 15100000 0.1619009544 0.102181936 0.089153551 0.115210321
Chr_01 15150000 0.169525284 0.105147898 0.09162813 0.118667666
Chr_01 15200000 0.1617648732 0.112858115 0.096395553 0.129320677
Chr_01 15250000 0.1770181524 0.1176173925 0.107647003 0.127587782
Chr_01 15300000 0.2104184544 0.1168308345 0.101829032 0.131832637
Chr_01 15350000 0.1977816432 0.120248256 0.108281116 0.132215396
Chr_01 15400000 0.182678886 0.1187071205 0.108942835 0.128471406
Chr_01 15450000 0.1936773524 0.116016137 0.09932841 0.132703864
Chr_01 15500000 0.183356428 0.12167015 0.098735815 0.144604485
Chr_01 15550000 0.1791381372 0.110085256 0.09015843 0.130012082
Chr_01 15600000 0.1861208764 0.1125744345 0.093890314 0.131258555
Chr_01 15650000 0.1529208656 0.115105878 0.100695817 0.129515939
Chr_01 15700000 0.13390359 0.110161266 0.102072462 0.11825007
Chr_01 15750000 0.1551963148 0.0979218525 0.084358006 0.111485699
Chr_01 15800000 0.186354122 0.101389931 0.088078217 0.114701645
Chr_01 15850000 0.1700502828 0.0972991995 0.09076205 0.103836349
Chr_01 15900000 0.166905394 0.101026682 0.090229888 0.111823476
Chr_01 15950000 0.1990075024 0.1136191885 0.097257003 0.129981374
Chr_01 16000000 0.200664896 0.1145952135 0.094473113 0.134717314
Chr_01 16050000 0.1409300132 0.083671234 0.069491442 0.097851026
Chr_01 16100000 0.1302728356 0.0850856245 0.073156019 0.09701523
Chr_01 16150000 0.1386139196 0.095234693 0.082714254 0.107755132
Chr_01 16200000 0.1565582012 0.101934341 0.084269169 0.119599513
Chr_01 16250000 0.1689850676 0.106923488 0.084074757 0.129772219
Chr_01 16300000 0.146620372 0.1100321865 0.090575499 0.129488874
Chr_01 16350000 0.1386972912 0.109245089 0.097105133 0.121385045
Chr_01 16400000 0.1415690556 0.1056189965 0.093510318 0.117727675
Chr_01 16450000 0.13452087 0.0990206445 0.084839536 0.113201753
Chr_01 16500000 0.1260032136 0.099705411 0.084266081 0.115144741
Chr_01 16550000 0.1410937508 0.106227518 0.097001593 0.115453443
Chr_01 16600000 0.1300610364 0.100220692 0.089182758 0.111258626
Chr_01 16650000 0.150474192 0.102990817 0.089680072 0.116301562
Chr_01 16700000 0.200110648 0.110108193 0.094363197 0.125853189
Chr_01 16750000 0.2141745352 0.111304693 0.09159171 0.131017676
Chr_01 16800000 0.2323495752 0.106831173 0.081815586 0.13184676
Chr_01 16850000 0.1701012992 0.0921822315 0.069011921 0.115352542
Chr_01 16900000 0.173943428 0.0954498305 0.07285465 0.118045011
Chr_01 16950000 0.2328901512 0.1156935445 0.090584239 0.14080285
Chr_01 17000000 0.1991208464 0.111518721 0.089288916 0.133748526
Chr_01 17050000 0.1738731832 0.1064182145 0.08710964 0.125726789
Chr_01 17100000 0.2571406312 0.1067158775 0.08635843 0.127073325
Chr_01 17150000 0.2368499724 0.111493153 0.094827385 0.128158921
Chr_01 17200000 0.2029476252 0.114751876 0.097031417 0.132472335
Chr_01 17250000 0.2082277996 0.120195612 0.105792773 0.134598451
Chr_01 17300000 0.1798278208 0.115887664 0.106520008 0.12525532
Chr_01 17350000 0.1496497056 0.1062321355 0.093150574 0.119313697
Chr_01 17400000 0.1805155016 0.1055821425 0.080833242 0.130331043
Chr_01 17450000 0.1193720836 0.0722453455 0.060726792 0.083763899
Chr_01 17500000 0.1067545192 0.0768015465 0.06498541 0.088617683
Chr_01 17550000 0.1575499424 0.106010658 0.091448357 0.120572959
Chr_01 17600000 0.1483463908 0.096206587 0.089747482 0.102665692
Chr_01 17650000 0.1499552752 0.0911672315 0.082642964 0.099691499
Chr_01 17700000 0.184345574 0.094180081 0.078681476 0.109678686
Chr_01 17750000 0.1923515392 0.0990844525 0.08627005 0.111898855
Chr_01 17800000 0.1738721616 0.09750916 0.085323448 0.109694872
Chr_01 17850000 0.2095146236 0.099807823 0.082841837 0.116773809
Chr_01 17900000 0.1934482172 0.09554363 0.079823099 0.111264161
Chr_01 17950000 0.15991262 0.1026941335 0.089636017 0.11575225
Chr_01 18000000 0.1556265504 0.0997112915 0.089297038 0.110125545
Chr_01 18050000 0.1556537808 0.1116223395 0.101349856 0.121894823
Chr_01 18100000 0.1621299452 0.1202798295 0.109331546 0.131228113
Chr_01 18150000 0.170650872 0.1195761685 0.107334572 0.131817765
Chr_01 18200000 0.1597545024 0.1084650665 0.100789263 0.11614087
Chr_01 18250000 0.1502999328 0.108305111 0.099877035 0.116733187
Chr_01 18300000 0.1365008108 0.0951602295 0.091864367 0.098456092
Chr_01 18350000 0.1570706768 0.0994339395 0.093222681 0.105645198
Chr_01 18400000 0.193960274 0.1120507085 0.097826186 0.126275231
Chr_01 18450000 0.2210485864 0.112615293 0.098737121 0.126493465
Chr_01 18500000 0.1921433992 0.109029315 0.09216561 0.12589302
Chr_01 18550000 0.1515817728 0.10367862 0.086388317 0.120968923
Chr_01 18600000 0.1784414408 0.0991039585 0.090221186 0.107986731
Chr_01 18650000 0.195370224 0.1029684005 0.09410498 0.111831821
Chr_01 18700000 0.162820958 0.108409146 0.096858889 0.119959403
Chr_01 18750000 0.1492134124 0.1112306545 0.097036773 0.125424536
Chr_01 18800000 0.160186938 0.096785801 0.078770402 0.1148012
Chr_01 18850000 0.221447672 0.091479415 0.082483605 0.100475225
Chr_01 18900000 0.2450845232 0.099237558 0.085199137 0.113275979
Chr_01 18950000 0.1780844864 0.09361905 0.073157226 0.114080874
Chr_01 19000000 0.22365932 0.101816132 0.089439712 0.114192552
Chr_01 19050000 0.2408592128 0.1068117195 0.100614155 0.113009284
Chr_01 19100000 0.1841602828 0.1021647795 0.093173781 0.111155778
Chr_01 19150000 0.169089332 0.1042764695 0.093881415 0.114671524
Chr_01 19200000 0.183030676 0.115934339 0.109925707 0.121942971
Chr_01 19250000 0.1635861964 0.100120902 0.09310195 0.107139854
Chr_01 19300000 0.1691978636 0.095870799 0.088119935 0.103621663
Chr_01 19350000 0.1843840332 0.1004713945 0.093135141 0.107807648
Chr_01 19400000 0.2027388404 0.105810452 0.093374938 0.118245966
Chr_01 19450000 0.205395044 0.100179871 0.086206488 0.114153254
Chr_01 19500000 0.2029541788 0.111614423 0.096507833 0.126721013
Chr_01 19550000 0.1505396288 0.090296735 0.082284663 0.098308807
Chr_01 19600000 0.15856617 0.095850434 0.085987628 0.10571324
Chr_01 19650000 0.172579012 0.1011242235 0.087283433 0.114965014
Chr_01 19700000 0.17789943 0.0989166595 0.087227068 0.110606251
Chr_01 19750000 0.179530448 0.103771769 0.091035585 0.116507953
Chr_01 19800000 0.175727142 0.1087876765 0.094948015 0.122627338
